id,name,Manufacturer,expiry_date,quantity,price
434,Azithromycin,Torrent Pharma,2026-04-11,8,556.96
435,Erythromycin 10mg drop,Wockhardt,2028-09-23,28,1149.7
436,Ceftriaxone,Pfizer,2023-06-20,194,1440.77
437,Phenylephrine 20mg capsule,RPG Life Sciences,2025-10-10,76,1750.87
438,Cefixime,Pfizer,2023-12-23,112,1731.93
439,Loratadine,Torrent Pharma,2025-05-09,188,1179.97
440,Sertraline,Hetero Labs,2027-10-20,42,1236.14
441,Salbutamol,Sun Pharma,2026-12-07,136,569.36
442,Erythromycin 125mg cream,Biocon,2025-12-31,131,1971.12
443,Topiramate,Lupin,2027-08-13,15,1985.05
444,Donepezil 250mg injection,Lupin,2026-08-12,63,1525.33
445,Topiramate 250mg cream,Merck,2027-08-24,96,909.46
446,Niacin,Indoco Remedies,2024-01-17,103,1036.07
447,Insulin Regular,Pfizer,2028-02-06,124,661.31
448,Paracetamol,RPG Life Sciences,2024-01-17,187,1944.58
449,Niacin,Pfizer,2023-09-17,136,801.45
450,Furosemide,Emcure,2026-01-04,82,1658.4
451,Alprazolam,Lupin,2028-06-10,87,1789.37
452,Promethazine 100mg drop,Cipla,2024-05-23,40,888.16
453,Paracetamol,Sanofi,2025-04-08,176,1819.72
454,Donepezil 5ml capsule,Merck,2027-01-16,64,174.02
455,Gabapentin,Aurobindo Pharma,2023-08-01,101,1254.95
456,Azathioprine,Torrent Pharma,2027-10-25,167,191.49
457,Pantoprazole 10mg capsule,Lupin,2025-07-15,132,1363.17
458,Ibuprofen 10ml capsule,Sanofi,2024-06-25,122,150.95
459,Clopidogrel 100mg capsule,Abbott,2027-02-14,76,282.89
460,Metoprolol,Lupin,2024-08-08,17,1065.71
461,Ibuprofen,Aurobindo Pharma,2027-12-08,89,1447.64
462,Fenofibrate,Sanofi,2027-12-18,55,182.51
463,Pantoprazole 100mg suspension,Pfizer,2027-10-25,80,1584.24
464,Doxycycline 100mg injection,Wockhardt,2026-03-13,199,1883.15
465,Azithromycin,Galderma,2026-05-20,52,1040.32
466,Clotrimazole 20mg cream,Merck,2023-08-12,200,1796.85
467,Fluconazole,Glenmark,2025-09-14,127,1279.78
468,Atorvastatin,Cipla,2027-01-19,81,272.65
469,Sodium Bicarbonate,Wockhardt,2024-12-08,195,947.32
470,Propranolol 1mg capsule,Cipla,2025-12-09,55,89.26
471,Amlodipine,Novartis,2028-09-06,73,1260.86
472,Ketoconazole,Sanofi,2027-07-06,21,1284.67
473,Erythromycin,Mankind Pharma,2023-12-09,79,167.25
474,Salbutamol,Lupin,2026-08-31,100,1177.01
475,Promethazine,Galderma,2023-09-28,79,1400.37
476,Cyclophosphamide,Torrent Pharma,2023-08-26,62,181.56
477,B12 Injection 1mg tablet,Biocon,2024-12-20,30,35.2
478,Vitamin C,Aurobindo Pharma,2028-07-26,88,1050.78
479,Azathioprine 10ml syrup,RPG Life Sciences,2026-01-05,187,1773.97
480,Propranolol,Abbott,2027-10-25,69,1052.47
481,Cefuroxime,Alembic,2023-11-12,127,915.84
482,Citalopram 1mg syrup,Pfizer,2024-10-06,65,1548.92
483,Dextromethorphan,Glenmark,2025-07-24,189,1022.56
484,Metformin,Cipla,2025-09-28,11,948.81
485,Clopidogrel,Aurobindo Pharma,2023-05-25,141,1608.2
486,Methotrexate,Sanofi,2025-07-08,82,504.04
487,Azathioprine 100mg gel,Glenmark,2028-08-18,172,1804.86
488,Diclofenac 2mg tablet,Novartis,2023-10-10,119,1733.4
489,Metoprolol,Abbott,2023-12-20,141,918.92
490,Escitalopram 1mg cream,RPG Life Sciences,2025-09-20,118,742.86
491,Bacitracin,Indoco Remedies,2025-03-11,187,1801.88
492,Promethazine,Lupin,2023-01-27,104,57.58
493,Phenylephrine 125mg tablet,Abbott,2023-01-06,194,1318.03
494,Tacrolimus,Glenmark,2025-04-20,135,1966.4
495,Spironolactone,Sun Pharma,2024-08-06,182,566.85
496,Metformin,MacLeods,2027-08-19,179,1792.2
497,Loperamide,Dr. Reddy's,2024-01-27,129,275.69
498,Warfarin 1mg tablet,Sanofi,2024-06-19,60,590.44
499,Metoclopramide,Novartis,2026-08-29,81,910.99
500,Metronidazole 500mg syrup,Indoco Remedies,2024-03-22,39,220.26
501,Cetirizine-D,Sanofi,2024-05-09,137,722.99
502,Propranolol 5ml drop,Mankind Pharma,2024-05-06,23,323.65
503,Levetiracetam 125mg tablet,Zydus Cadila,2026-09-04,37,191.51
504,Doxycycline,Novartis,2028-10-04,12,1357.59
505,Cefuroxime,Aurobindo Pharma,2023-05-08,103,1710.66
506,Gaviscon,Torrent Pharma,2024-01-23,118,212.8
507,Vitamin C 50mg injection,Lupin,2025-03-22,102,750.76
508,Fenofibrate,Dr. Reddy's,2025-11-26,19,53.38
509,Losartan 250mcg drop,Lupin,2024-01-12,84,253.83
510,Orlistat 1mg suspension,RPG Life Sciences,2027-06-06,127,68.67
511,Levetiracetam,Pfizer,2025-05-29,47,557.21
512,Cetirizine-D,Sun Pharma,2025-10-03,165,597.26
513,Ramipril,Emcure,2023-09-07,22,566.75
514,Vitamin C,Merck,2028-11-23,63,1265.2
515,Phenylephrine,Novartis,2027-01-10,122,1093.59
516,Neomycin 1mg gel,Novartis,2026-01-12,46,61.87
517,Linagliptin 5ml tablet,Emcure,2028-12-08,91,1536.02
518,Metronidazole,Glenmark,2025-10-12,168,489.89
519,Erythromycin,RPG Life Sciences,2023-08-18,195,1992.82
520,Montelukast,Novartis,2026-12-24,44,360.44
521,Insulin Glargine 125mg gel,Alembic,2023-04-26,180,1404.12
522,Sodium Bicarbonate,Alembic,2025-02-10,126,1088.83
523,Diclofenac,Dr. Reddy's,2023-08-19,59,1207.31
524,Amoxicillin,Cipla,2026-09-20,157,410.91
525,Levocetirizine 250mg gel,Sun Pharma,2023-03-31,37,1177.35
526,Vitamin D3,MacLeods,2027-02-03,18,753.45
527,Pregabalin 100mg gel,Biocon,2026-08-14,34,1951.96
528,Cyclophosphamide,Merck,2028-06-18,166,641.39
529,Hydroxychloroquine,Takeda,2027-01-01,57,1334.41
530,Diclofenac 125mg cream,Lupin,2024-12-28,186,13.58
531,Lamotrigine,Novartis,2023-05-13,46,1208.75
532,Vildagliptin 1mg capsule,Emcure,2024-07-30,84,1493.23
533,Fluconazole 10ml syrup,Merck,2023-12-30,181,1343.35
534,Cyclophosphamide,Bayer,2023-02-16,67,427.27
535,Valproate 5ml capsule,RPG Life Sciences,2023-01-06,12,778.01
536,Cyclophosphamide,Aurobindo Pharma,2027-08-23,126,1764.72
537,Sertraline,Glenmark,2028-05-17,147,1305.43
538,Levetiracetam 10mg capsule,Sun Pharma,2026-04-22,5,644.25
539,Ranitidine 250mg suspension,Aurobindo Pharma,2023-11-04,140,1884.25
540,Omeprazole 1mg drop,Takeda,2023-05-07,110,1885.46
541,Folic Acid,Sanofi,2024-10-05,13,211.5
542,Salbutamol,Sanofi,2025-12-22,169,570.23
543,Fluconazole 20mg drop,Lupin,2023-08-12,92,17.59
544,Omeprazole 250mcg drop,Zydus Cadila,2024-02-02,6,421.84
545,Niacin 100mg drop,Glenmark,2026-06-17,200,800.96
546,Neomycin,Mankind Pharma,2024-01-09,164,1092.81
547,Naproxen 20mg gel,Aurobindo Pharma,2027-12-31,11,533.96
548,Orlistat 5ml tablet,Lupin,2024-02-01,21,1339.6
549,Phenylephrine,Indoco Remedies,2025-07-20,141,131.36
550,Clopidogrel,Sanofi,2028-04-28,146,1764.49
551,Lorazepam 20mg tablet,MacLeods,2028-10-17,146,1358.29
552,Ezetimibe 10mg syrup,Aurobindo Pharma,2025-05-17,49,261.11
553,Furosemide 250mcg suspension,Zydus Cadila,2024-08-28,152,523.19
554,Cyclophosphamide,Dr. Reddy's,2023-12-23,99,1117.16
555,Pseudoephedrine 5ml drop,Cipla,2028-11-10,200,844.99
556,Spironolactone 1mg capsule,Glenmark,2024-02-18,73,1736.28
557,Sertraline,Mankind Pharma,2027-04-18,167,976.31
558,Sitagliptin,Aurobindo Pharma,2026-02-02,103,296.27
559,Sitagliptin,Novartis,2023-06-08,101,1780.25
560,Lorazepam,Sun Pharma,2028-04-30,68,1795.09
561,Amoxicillin 5ml cream,Mankind Pharma,2028-07-06,178,1372.86
562,Metronidazole 125mg drop,Indoco Remedies,2026-08-07,68,1460.31
563,Sitagliptin,Zydus Cadila,2027-12-15,54,1827.73
564,Ramipril,Indoco Remedies,2028-10-16,95,1643.82
565,Clotrimazole,Dr. Reddy's,2026-06-28,181,1018.52
566,Vitamin C,MacLeods,2023-04-29,44,393.6
567,Hydrocortisone,Torrent Pharma,2023-05-16,116,110.61
568,Citalopram,Mankind Pharma,2027-02-17,118,1015.2
569,Niacin,Galderma,2023-05-06,61,751.21
570,Linagliptin,Emcure,2026-12-03,88,335.39
571,Cefuroxime,Takeda,2024-01-06,72,64.63
572,Glibenclamide 1mg injection,Torrent Pharma,2025-07-11,173,421.39
573,Donepezil,Cipla,2023-02-06,121,1823.92
574,Rivastigmine 50mg injection,Mankind Pharma,2026-06-05,182,1934.38
575,Rivastigmine 20mg gel,Bayer,2025-10-29,55,938.73
576,Topiramate,Hetero Labs,2027-06-15,149,213.6
577,Clotrimazole,Pfizer,2026-03-03,76,1371.98
578,Mupirocin 5ml gel,Mankind Pharma,2025-12-05,167,1425.08
579,Donepezil 250mg injection,Sun Pharma,2027-07-14,169,645.98
580,Vitamin C,Merck,2028-07-30,75,526.26
581,Spironolactone,RPG Life Sciences,2023-05-25,149,1419.06
582,Dextromethorphan,Abbott,2025-06-29,175,1073.92
583,Lorazepam,Galderma,2027-01-08,129,607.39
584,Folic Acid,Wockhardt,2025-01-11,75,204.23
585,Levocetirizine,RPG Life Sciences,2025-01-19,174,1800.19
586,Donepezil 10ml injection,RPG Life Sciences,2026-06-11,107,1578.3
587,Lorazepam 1mg cream,Bayer,2024-04-27,120,116.82
588,Niacin,Hetero Labs,2023-10-19,120,1779.96
589,Ketoconazole 250mcg suspension,MacLeods,2026-05-07,105,117.58
590,Calcium 500mg gel,Sanofi,2028-02-18,36,639.6
591,Methotrexate 100mg drop,Abbott,2024-12-25,80,1272.65
592,Paracetamol,Zydus Cadila,2024-11-21,147,1531.32
593,Neomycin,Indoco Remedies,2023-12-27,33,1232.81
594,Niacin,Sanofi,2028-05-09,98,19.29
595,Erythromycin 10ml tablet,Abbott,2028-12-15,48,45.65
596,Paracetamol,Torrent Pharma,2025-07-15,177,1755.2
597,Tadalafil 20mg cream,Aurobindo Pharma,2023-09-25,11,603.42
598,Levothyroxine,MacLeods,2028-11-16,86,872.99
599,Levetiracetam,Abbott,2028-06-30,91,1502.73
600,Folic Acid,Novartis,2023-03-20,58,456.4
601,Levocetirizine 50mg syrup,Glenmark,2027-02-10,182,1304.58
602,Cefixime 250mcg cream,Indoco Remedies,2028-12-30,159,106.69
603,Glibenclamide,Merck,2023-03-22,12,1382.6
604,Spironolactone,Glenmark,2025-11-01,121,1406.72
605,Salbutamol,Merck,2023-02-08,77,847.53
606,Pantoprazole,Mankind Pharma,2024-07-15,107,1663.0
607,Ranitidine,Hetero Labs,2024-04-27,72,236.88
608,Ranitidine,Hetero Labs,2025-03-29,199,533.36
609,Benzoyl Peroxide,Pfizer,2027-08-06,75,329.14
610,Pseudoephedrine,Zydus Cadila,2028-05-22,84,476.67
611,Ibuprofen,Glenmark,2028-07-16,38,1899.4
612,Metoprolol,RPG Life Sciences,2024-02-19,65,1292.23
613,Loperamide,Biocon,2025-12-17,118,109.66
614,Diclofenac,Biocon,2027-01-15,173,632.29
615,Tacrolimus 50mg tablet,Lupin,2024-11-29,84,721.48
616,Multivitamin,Mankind Pharma,2024-01-16,95,1631.78
617,Naproxen 20mg drop,Mankind Pharma,2027-04-29,176,1702.84
618,Spironolactone,Aurobindo Pharma,2024-04-08,33,1395.38
619,Amlodipine,Aurobindo Pharma,2024-02-29,106,1823.34
620,Mupirocin,Galderma,2027-11-30,46,1226.53
621,Metoprolol 50mg syrup,Emcure,2028-06-22,28,1776.31
622,Multivitamin 5ml gel,Cipla,2028-11-19,196,1489.81
623,Azathioprine,Galderma,2026-10-17,132,1050.98
624,Lamotrigine,Sanofi,2025-10-15,123,698.04
625,Topiramate,Lupin,2023-08-12,2,1290.36
626,Iron,Emcure,2028-07-23,42,158.98
627,Neomycin 10ml cream,Sun Pharma,2028-09-07,57,1105.49
628,Aspirin,Torrent Pharma,2023-11-19,117,893.94
629,Dextromethorphan,Emcure,2028-01-06,80,246.23
630,Bacitracin,Cipla,2024-02-25,103,830.55
631,Gaviscon,Dr. Reddy's,2026-06-01,130,1129.04
632,Donepezil,Abbott,2027-01-28,13,1635.01
633,Loperamide 1mg drop,Takeda,2027-01-28,183,910.54
634,Pantoprazole,Torrent Pharma,2023-01-09,87,716.73
635,Niacin,Biocon,2028-11-08,95,1407.17
636,Metformin,Emcure,2024-07-29,183,1487.6
637,Ramipril 1mg injection,Zydus Cadila,2024-05-09,100,439.02
638,Prednisolone,Glenmark,2027-08-25,11,1853.99
639,Topiramate,Indoco Remedies,2028-01-20,117,1320.33
640,Ketoconazole 10mg tablet,MacLeods,2023-07-18,141,1871.26
641,Oxymetazoline,MacLeods,2024-12-26,177,1161.32
642,Cyclophosphamide,Glenmark,2027-05-06,168,1205.09
643,Domperidone,Novartis,2027-09-11,155,1832.66
644,Promethazine 20mg gel,Biocon,2028-01-29,34,284.98
645,Sitagliptin,RPG Life Sciences,2028-09-29,76,1687.72
646,Pseudoephedrine,Takeda,2025-06-09,51,427.33
647,Methotrexate 10ml syrup,Takeda,2024-12-29,128,1089.56
648,Niacin 100mg gel,Wockhardt,2028-05-21,149,1145.57
649,Gabapentin,Galderma,2028-12-26,73,1756.18
650,Furosemide,MacLeods,2024-03-12,6,767.93
651,Glibenclamide,Zydus Cadila,2025-12-29,192,1573.21
652,Insulin NPH,Lupin,2023-09-12,176,1570.87
653,Salbutamol,Sun Pharma,2027-01-09,115,213.94
654,Topiramate,Torrent Pharma,2027-05-12,60,1026.74
655,Lamotrigine 250mcg tablet,Novartis,2027-05-07,106,1913.84
656,Levetiracetam 2mg tablet,Cipla,2025-10-26,51,1244.92
657,Metoprolol,Bayer,2025-07-12,162,1412.21
658,Rivastigmine 1mg injection,Indoco Remedies,2025-03-03,75,903.14
659,Levetiracetam 250mg capsule,Novartis,2023-06-16,109,565.43
660,Cefuroxime 1mg cream,Cipla,2026-09-15,119,1422.28
661,Calcium 10ml tablet,Indoco Remedies,2026-05-18,125,1581.92
662,Pseudoephedrine 125mg gel,MacLeods,2025-06-19,47,1046.01
663,Ketoconazole 2mg suspension,Dr. Reddy's,2026-12-02,56,1767.96
664,Pregabalin 10ml cream,Zydus Cadila,2028-12-12,121,1993.3
665,Ondansetron,Cipla,2024-04-14,171,698.55
666,Fluconazole,Hetero Labs,2025-09-25,10,1368.28
667,Domperidone 100mg suspension,Mankind Pharma,2026-03-04,6,1823.56
668,Propranolol 2mg drop,Emcure,2023-06-29,75,1797.58
669,Prednisolone 100mg capsule,Aurobindo Pharma,2028-12-24,1,1257.6
670,Salbutamol,Indoco Remedies,2025-05-23,175,854.18
671,Ranitidine 125mg suspension,Merck,2023-10-23,191,1375.23
672,Azithromycin,Abbott,2023-06-05,22,155.76
673,Diclofenac,Wockhardt,2023-10-16,147,1645.02
674,Cefuroxime,Bayer,2027-07-15,110,639.64
675,Clopidogrel,Wockhardt,2023-01-25,164,1443.37
676,Losartan,Alembic,2023-07-06,179,1698.02
677,Fluoxetine,Glenmark,2026-04-02,175,609.69
678,Omeprazole 10mg suspension,Novartis,2023-05-07,121,321.08
679,Montelukast 20mg cream,Merck,2024-08-13,76,1357.81
680,Cyclophosphamide,Cipla,2024-08-02,31,93.13
681,Dextromethorphan,Wockhardt,2023-12-15,78,428.01
682,Tacrolimus,Pfizer,2025-05-17,105,1812.2
683,Clotrimazole 250mg injection,Hetero Labs,2025-11-01,49,238.1
684,Gabapentin,Sun Pharma,2028-03-04,165,1103.83
685,Levothyroxine,Mankind Pharma,2024-02-07,50,1453.92
686,Neomycin,Pfizer,2024-06-09,171,1314.39
687,Pantoprazole 100mg injection,Abbott,2028-06-13,115,663.41
688,Pregabalin 1mg syrup,Alembic,2027-02-01,80,1917.73
689,Folic Acid 500mg injection,Takeda,2027-11-22,70,1681.82
690,Vitamin C,Abbott,2028-05-19,118,896.26
691,Metoprolol 2mg capsule,Aurobindo Pharma,2023-12-02,71,1718.84
692,Vitamin C,Zydus Cadila,2025-12-14,187,1773.81
693,Atorvastatin,Cipla,2028-09-08,161,72.08
694,Oxymetazoline,Indoco Remedies,2025-05-21,9,1107.67
695,Phenylephrine,Wockhardt,2028-04-17,167,1552.64
696,Citalopram 1mg cream,Lupin,2028-03-18,128,1025.72
697,Warfarin 50mg injection,Hetero Labs,2024-11-10,193,1033.13
698,Cetirizine-D 1mg syrup,RPG Life Sciences,2028-06-03,91,90.44
699,Promethazine,Dr. Reddy's,2025-12-18,94,475.7
700,Gabapentin 10ml suspension,Emcure,2028-02-06,11,89.41
701,Donepezil 125mg cream,RPG Life Sciences,2025-12-14,148,1093.26
702,Diclofenac 20mg gel,Alembic,2023-11-15,132,510.66
703,Montelukast,Pfizer,2026-11-14,124,1587.39
704,Sitagliptin 250mg drop,Aurobindo Pharma,2025-07-31,19,1033.94
705,Insulin Regular 250mg syrup,Pfizer,2024-04-29,169,468.39
706,Lorazepam,Emcure,2028-05-15,122,429.3
707,Iron,Sanofi,2023-04-02,62,95.86
708,Dextromethorphan,Lupin,2028-09-30,10,1782.69
709,Vitamin D3 5ml syrup,MacLeods,2027-07-19,153,1938.79
710,Niacin 125mg cream,Dr. Reddy's,2025-06-06,114,1216.99
711,Lorazepam,Aurobindo Pharma,2025-06-17,105,1205.67
712,Oxymetazoline,Aurobindo Pharma,2028-09-23,67,343.77
713,Levetiracetam 10mg capsule,Torrent Pharma,2027-03-30,98,273.1
714,Amoxicillin 2mg suspension,Lupin,2024-01-30,45,956.98
715,Vildagliptin,Wockhardt,2028-08-23,192,243.86
716,Mupirocin,Hetero Labs,2023-01-05,198,1360.33
717,B12 Injection,Pfizer,2023-06-27,178,1064.33
718,Metronidazole,Emcure,2027-04-11,89,1182.21
719,Tacrolimus,Takeda,2024-02-05,108,276.43
720,Mupirocin,Dr. Reddy's,2026-03-06,153,1754.76
721,Ramipril 50mg tablet,Alembic,2028-11-10,30,1044.33
722,Aspirin,Takeda,2026-07-17,104,730.92
723,Calcium,Alembic,2025-11-04,66,1711.4
724,Furosemide,Hetero Labs,2026-02-02,174,800.93
725,Salbutamol,Wockhardt,2028-05-30,45,746.72
726,Gaviscon,Biocon,2026-11-11,198,1413.93
727,Tacrolimus 250mcg capsule,RPG Life Sciences,2025-07-30,114,1568.39
728,Iron 2mg suspension,Abbott,2023-08-02,41,784.32
729,Niacin 100mg syrup,Emcure,2027-11-19,22,137.52
730,Montelukast 1mg tablet,RPG Life Sciences,2027-04-24,102,1231.79
731,Benzoyl Peroxide 1mg tablet,Indoco Remedies,2024-12-18,163,993.79
732,Ibuprofen 250mcg cream,Zydus Cadila,2023-05-18,200,1203.03
733,Benzoyl Peroxide,Hetero Labs,2024-11-25,172,81.76
734,Fluconazole,Aurobindo Pharma,2023-12-22,70,1561.55
735,Fluoxetine,Novartis,2025-03-31,132,40.58
736,Hydroxychloroquine 100mg cream,RPG Life Sciences,2026-11-26,88,1926.94
737,Insulin Regular 500mg drop,Novartis,2023-01-20,66,358.32
738,Ketoconazole 100mg cream,Abbott,2024-04-24,131,1913.85
739,Erythromycin,Alembic,2025-10-21,177,891.11
740,Aspirin,Indoco Remedies,2025-09-23,193,685.92
741,Metoprolol,Bayer,2023-04-23,123,241.37
742,Losartan 500mg injection,Abbott,2027-08-17,90,1037.84
743,Ibuprofen,Mankind Pharma,2025-10-13,73,195.09
744,Topiramate,Abbott,2023-11-08,141,1863.48
745,Lorazepam 500mg cream,Aurobindo Pharma,2025-02-17,127,1476.85
746,Fluconazole,Mankind Pharma,2025-04-26,58,413.51
747,Doxycycline,Pfizer,2024-09-30,199,222.31
748,Simvastatin,Galderma,2028-07-10,157,23.18
749,Phenylephrine,Emcure,2027-03-01,158,637.68
750,Dextromethorphan,Emcure,2025-01-19,195,1832.85
751,Insulin Regular 1mg syrup,Sun Pharma,2028-11-23,108,961.86
752,Phenylephrine 10ml suspension,Galderma,2024-12-16,117,1953.25
753,Lamotrigine,Abbott,2023-02-04,3,1351.47
754,Aspirin,Abbott,2027-01-21,156,1725.07
755,Naproxen,Torrent Pharma,2026-01-08,120,1917.47
756,Alprazolam 10mg suspension,Zydus Cadila,2027-09-13,179,1506.87
757,Citalopram,Mankind Pharma,2028-01-21,46,1147.11
758,Dextromethorphan,Glenmark,2026-01-10,60,1115.13
759,Aspirin 125mg syrup,Emcure,2023-02-09,45,848.83
760,Vitamin C,Merck,2028-10-18,136,1443.92
761,Neomycin 2mg tablet,Novartis,2024-02-10,176,335.05
762,Budesonide,Emcure,2024-01-30,115,1491.74
763,Cefuroxime 2mg cream,Pfizer,2023-03-23,105,251.26
764,Topiramate,Zydus Cadila,2024-12-15,199,576.37
765,Domperidone,Emcure,2028-01-05,20,768.33
766,Insulin NPH,Lupin,2024-11-17,163,1617.36
767,Alprazolam,Hetero Labs,2027-07-16,18,167.43
768,Alprazolam 10ml cream,Takeda,2025-12-31,154,1292.84
769,Ceftriaxone,Indoco Remedies,2027-01-27,191,1177.97
770,Cetirizine-D,Aurobindo Pharma,2023-04-05,32,1458.27
771,Pregabalin 125mg capsule,Zydus Cadila,2024-11-14,101,214.99
772,Losartan,Emcure,2023-08-09,6,1544.16
773,Salicylic Acid,Dr. Reddy's,2024-03-01,67,1240.02
774,Simvastatin,Novartis,2026-06-21,58,502.32
775,Insulin NPH,Lupin,2024-06-21,134,1678.65
776,Azithromycin 10ml gel,Emcure,2028-03-28,138,1870.37
777,Pseudoephedrine,Takeda,2024-12-26,151,1199.19
778,Fenofibrate,Alembic,2027-11-17,134,1283.18
779,Erythromycin 10ml drop,Wockhardt,2025-07-19,22,889.3
780,Citalopram,Lupin,2026-05-28,2,10.18
781,Promethazine,Pfizer,2026-03-20,120,1074.85
782,Valproate,Indoco Remedies,2028-05-08,76,28.17
783,B12 Injection,Hetero Labs,2025-08-05,1,1100.94
784,Prednisolone,Wockhardt,2027-11-26,101,507.29
785,Methotrexate,Novartis,2027-03-30,56,533.33
786,Furosemide,MacLeods,2026-01-18,72,1300.43
787,Erythromycin,Sanofi,2025-02-09,17,372.99
788,Levothyroxine 10mg drop,Mankind Pharma,2028-07-08,48,648.08
789,Calcium 2mg tablet,Aurobindo Pharma,2024-02-23,72,545.7
790,Methotrexate,Cipla,2025-08-11,23,309.86
791,Bacitracin 20mg cream,Emcure,2027-03-02,118,1396.9
792,Cefixime 250mg tablet,Mankind Pharma,2027-05-27,18,1090.95
793,Naproxen 5ml suspension,Cipla,2024-05-14,196,1432.22
794,Clopidogrel,Bayer,2025-10-09,188,1989.13
795,Hydrocortisone,Indoco Remedies,2024-01-20,133,1335.36
796,Salbutamol,Galderma,2026-07-02,82,325.64
797,Cyclophosphamide 2mg capsule,Mankind Pharma,2028-05-25,163,604.64
798,Citalopram,Galderma,2025-06-11,28,479.57
799,B12 Injection 250mg cream,Alembic,2024-05-05,101,1580.4
800,Ibuprofen,Alembic,2028-04-30,176,1196.46
801,Escitalopram,Torrent Pharma,2024-10-07,127,191.89
802,Ezetimibe 250mcg tablet,Sun Pharma,2026-12-27,165,316.3
803,Erythromycin,Lupin,2028-06-21,59,640.31
804,Gaviscon,Indoco Remedies,2026-11-23,112,1469.05
805,Amoxicillin,Pfizer,2024-07-05,64,1798.34
806,Neomycin,Wockhardt,2026-04-22,138,1397.11
807,Prednisolone,Wockhardt,2026-11-25,82,1467.48
808,Insulin Regular,Hetero Labs,2024-10-18,17,1066.96
809,Cetirizine-D 5ml gel,Bayer,2023-01-03,198,1279.67
810,Aspirin,Cipla,2027-01-31,198,1244.19
811,Domperidone,Galderma,2027-05-07,48,1052.9
812,Bacitracin,Lupin,2026-03-05,82,825.51
813,Domperidone 2mg capsule,Sun Pharma,2024-06-15,45,1748.25
814,Hydrocortisone 500mg capsule,Sun Pharma,2027-05-11,168,984.92
815,Ezetimibe,Mankind Pharma,2023-07-21,93,449.24
816,Methotrexate 500mg drop,Dr. Reddy's,2028-04-01,163,130.79
817,Gaviscon,Sanofi,2027-02-20,181,126.02
818,Vildagliptin 50mg capsule,Biocon,2023-11-16,55,1921.57
819,Pantoprazole 500mg suspension,Zydus Cadila,2025-03-02,134,1317.18
820,Sodium Bicarbonate,Aurobindo Pharma,2027-08-28,191,219.97
821,Niacin,Galderma,2028-02-22,179,1333.83
822,Ranitidine 250mg suspension,MacLeods,2026-10-14,168,324.77
823,Linagliptin,Pfizer,2026-07-14,140,1983.01
824,Domperidone,Sanofi,2027-10-30,185,653.67
825,Fluconazole,Zydus Cadila,2027-03-17,196,1104.98
826,Cyclosporine 10mg drop,Novartis,2023-01-01,185,78.98
827,Insulin NPH,MacLeods,2024-07-07,77,23.07
828,Montelukast 10ml tablet,Indoco Remedies,2026-02-04,141,1027.43
829,Dextromethorphan,Lupin,2024-01-22,9,926.14
830,Calcium 10ml injection,Torrent Pharma,2025-11-15,76,192.89
831,Enalapril,Zydus Cadila,2023-11-13,185,656.14
832,Mupirocin 125mg capsule,Hetero Labs,2026-05-15,9,1464.27
833,Dextromethorphan 50mg gel,Pfizer,2027-11-14,106,1861.19
834,Loratadine,Torrent Pharma,2023-02-16,162,1557.06
835,Aspirin 2mg tablet,Abbott,2024-09-04,83,1009.78
836,Montelukast 250mcg suspension,Bayer,2028-08-29,23,451.95
837,Levothyroxine,Lupin,2024-06-25,86,174.26
838,Dextromethorphan,Wockhardt,2027-06-24,67,179.31
839,Ketoconazole,Takeda,2024-06-18,195,278.39
840,Gaviscon 20mg injection,Wockhardt,2028-11-17,63,492.21
841,Ceftriaxone,Abbott,2024-01-02,28,1346.78
842,Furosemide 500mg gel,Pfizer,2023-04-10,197,616.59
843,Sertraline,Bayer,2024-08-20,112,99.31
844,Metronidazole 10ml syrup,Indoco Remedies,2023-12-18,28,1481.77
845,Doxycycline,Lupin,2026-03-24,3,693.11
846,Cetirizine 10mg tablet,Abbott,2025-05-06,189,1080.63
847,Salbutamol,Indoco Remedies,2025-11-25,140,971.22
848,Cyclophosphamide,Takeda,2023-03-17,96,1170.18
849,Pregabalin,Mankind Pharma,2024-11-28,15,575.19
850,Lamotrigine,Sun Pharma,2028-03-19,167,1890.9
851,Losartan 5ml gel,Glenmark,2023-03-20,74,1736.15
852,Donepezil 20mg capsule,Abbott,2028-06-08,152,1067.81
853,Naproxen 10mg tablet,Sun Pharma,2025-10-10,135,616.81
854,Neomycin 250mg tablet,Pfizer,2026-12-12,90,1254.21
855,Fluconazole,MacLeods,2026-02-03,15,1255.33
856,Clopidogrel,Cipla,2026-02-21,57,311.9
857,Warfarin,Dr. Reddy's,2027-04-15,133,1921.61
858,Vildagliptin,Galderma,2025-07-20,106,488.32
859,Calcium,Biocon,2026-09-10,114,1089.05
860,Salbutamol,Alembic,2025-04-08,35,624.91
861,Hydroxychloroquine,Lupin,2027-10-28,197,298.85
862,Sodium Bicarbonate,Abbott,2023-10-05,142,1070.59
863,Azathioprine 10ml syrup,RPG Life Sciences,2023-05-01,195,644.19
864,Ramipril,Biocon,2027-12-20,190,1868.2
865,Niacin,Mankind Pharma,2024-09-14,199,383.99
866,Levocetirizine 1mg cream,Hetero Labs,2025-08-03,152,472.04
867,Levetiracetam 100mg drop,Lupin,2028-08-19,154,942.84
868,Donepezil 20mg drop,Emcure,2024-07-17,41,394.59
869,Cefixime,Cipla,2026-01-10,105,452.88
